;id;en;full_ssp_name;lat;lng;type;time;date;file
101;6067;Rufous-vented Chachalaca;Ortalis_ruficauda_ruficauda;8.4789;-67.6401;Antiphonal duets;08:30;1985-01-13;https://www.xeno-canto.org/6067/download
102;227406;Little Chachalaca;Ortalis_motmot_;4.6;-61.5;long call;05:30;2002-07-31;https://www.xeno-canto.org/227406/download
103;226988;Little Chachalaca;Ortalis_motmot_;7.25;-65.0;dawn chorus;?;1992-04-16;https://www.xeno-canto.org/226988/download
104;226986;Little Chachalaca;Ortalis_motmot_;6.3;-61.2666666667;dawn chorus;05:30;2002-08-03;https://www.xeno-canto.org/226986/download
105;226985;Little Chachalaca;Ortalis_motmot_;6.3;-61.2666666667;dawn chorus;05:30;2002-08-03;https://www.xeno-canto.org/226985/download
106;103386;Little Chachalaca;Ortalis_motmot_;6.963;-64.899;Call;07.00;2011-03-15;https://www.xeno-canto.org/103386/download
107;9925;Little Chachalaca;Ortalis_motmot_;7.1167;-64.9667;call;06:45;2007-01-04;https://www.xeno-canto.org/9925/download
108;354952;Little Chachalaca;Ortalis_motmot_;5.97;-61.425;song;07:00;2017-01-29;https://www.xeno-canto.org/354952/download
109;227407;Little Chachalaca;Ortalis_motmot_;4.6;-61.5;long call;05:30;2002-07-31;https://www.xeno-canto.org/227407/download
110;227384;Band-tailed Guan;Penelope_argyrotis_;10.3333333333;-68.8333333333;call, alarm call;06:00;2003-07-24;https://www.xeno-canto.org/227384/download
111;227383;Band-tailed Guan;Penelope_argyrotis_;9.7166666667;-69.5833333333;call;06:00;1997-03-08;https://www.xeno-canto.org/227383/download
112;227381;Band-tailed Guan;Penelope_argyrotis_;9.7166666667;-69.5833333333;call;06:00;1997-03-08;https://www.xeno-canto.org/227381/download
113;227380;Band-tailed Guan;Penelope_argyrotis_;8.75;-71.4666666667;alarm call;06:00;2000-07-26;https://www.xeno-canto.org/227380/download
114;227379;Band-tailed Guan;Penelope_argyrotis_;8.75;-71.4666666667;call;06:00;2000-07-26;https://www.xeno-canto.org/227379/download
115;227378;Band-tailed Guan;Penelope_argyrotis_;8.75;-71.4666666667;call;06:00;2000-07-26;https://www.xeno-canto.org/227378/download
116;219362;Band-tailed Guan;Penelope_argyrotis_;8.609;-71.0563;song;00:00;0000-00-00;https://www.xeno-canto.org/219362/download
117;227390;Band-tailed Guan;Penelope_argyrotis_;10.35;-67.7;call;?;1992-11-22;https://www.xeno-canto.org/227390/download
118;227389;Band-tailed Guan;Penelope_argyrotis_;10.3333333333;-68.8333333333;grunts;06:00;2003-07-24;https://www.xeno-canto.org/227389/download
119;227388;Band-tailed Guan;Penelope_argyrotis_;8.6666666667;-71.4;call;06:00;1995-02-27;https://www.xeno-canto.org/227388/download
120;227387;Band-tailed Guan;Penelope_argyrotis_;8.6666666667;-71.4;call, wing whirring;06:00;1995-02-27;https://www.xeno-canto.org/227387/download
121;227386;Band-tailed Guan;Penelope_argyrotis_;7.9333333333;-71.7166666667;wing whirring, call;06:00;2000-08-03;https://www.xeno-canto.org/227386/download
122;219364;Band-tailed Guan;Penelope_argyrotis_;8.7928;-70.8316;call, song;00:00;2010-00-00;https://www.xeno-canto.org/219364/download
123;199961;Band-tailed Guan;Penelope_argyrotis_;10.4012;-66.978;call;07:00;2011-05-21;https://www.xeno-canto.org/199961/download
124;65892;Band-tailed Guan;Penelope_argyrotis_;8.8323;-70.5801;call;07:30;2008-01-21;https://www.xeno-canto.org/65892/download
125;247280;Andean Guan;Penelope_montagnii_;8.6071;-71.053;call;00:00;2000-01-15;https://www.xeno-canto.org/247280/download
126;227412;Andean Guan;Penelope_montagnii_;9.1666666667;-70.1833333333;call;18:00;1997-12-29;https://www.xeno-canto.org/227412/download
127;227411;Andean Guan;Penelope_montagnii_;9.1666666667;-70.1833333333;call;18:00;1997-12-29;https://www.xeno-canto.org/227411/download
128;227410;Andean Guan;Penelope_montagnii_;9.1666666667;-70.1833333333;call;17:30;1997-12-29;https://www.xeno-canto.org/227410/download
129;197439;Andean Guan;Penelope_montagnii_;8.7171;-71.3304;call;09:00;2009-03-30;https://www.xeno-canto.org/197439/download
130;42999;Andean Guan;Penelope_montagnii_;8.609;-71.0563;song;?:?;2007-01-00;https://www.xeno-canto.org/42999/download
131;12177;Andean Guan;Penelope_montagnii_;8.6209;-71.0331;call;05:50;2007-01-12;https://www.xeno-canto.org/12177/download
132;227414;Andean Guan;Penelope_montagnii_;9.1666666667;-70.1833333333;call;17:30;1997-12-29;https://www.xeno-canto.org/227414/download
133;227413;Andean Guan;Penelope_montagnii_;9.1666666667;-70.1833333333;call;17:30;1997-12-29;https://www.xeno-canto.org/227413/download
134;227398;Marail Guan;Penelope_marail_;7.25;-65.0;call;05:15;1997-03-25;https://www.xeno-canto.org/227398/download
135;227397;Marail Guan;Penelope_marail_;7.25;-65.0;call;05:15;1997-03-25;https://www.xeno-canto.org/227397/download
136;227396;Marail Guan;Penelope_marail_;6.2;-61.4;call;05:25;2002-07-25;https://www.xeno-canto.org/227396/download
137;227395;Marail Guan;Penelope_marail_;6.2;-61.4;call;05:25;2002-07-25;https://www.xeno-canto.org/227395/download
138;6185;Crested Guan;Penelope_purpurascens_brunnescens;10.0734;-66.4734;Honking calls.;?;1984-04-20;https://www.xeno-canto.org/6185/download
139;227391;Spix's Guan;Penelope_jacquacu_;7.25;-65.0;call;?;1992-04-16;https://www.xeno-canto.org/227391/download
140;227399;Spix's Guan;Penelope_jacquacu_;7.25;-65.0;song;05:45;1997-03-25;https://www.xeno-canto.org/227399/download
141;227394;Spix's Guan;Penelope_jacquacu_;5.0;-66.3833333333;call;?;1993-11-01;https://www.xeno-canto.org/227394/download
142;228153;Blue-throated Piping Guan;Pipile_cumanensis_;5.0;-66.3833333333;song;?;1993-11-01;https://www.xeno-canto.org/228153/download
143;465304;Wattled Guan;Aburria_aburri_;9.2443;-70.7849;song;17:51;2019-03-15;https://www.xeno-canto.org/465304/download
144;41646;Wattled Guan;Aburria_aburri_;10.468906;-72.630615;song;18:40;2009-12-19;https://www.xeno-canto.org/41646/download
145;386042;Wattled Guan;Aburria_aburri_;9.2498;-70.7635;song;20:30;2017-09-03;https://www.xeno-canto.org/386042/download
146;466733;Helmeted Curassow;Pauxi_pauxi_;10.417;-67.633;call, male;17:30;2004-02-27;https://www.xeno-canto.org/466733/download
147;202360;Helmeted Curassow;Pauxi_pauxi_pauxi;10.3489;-67.6844;call;?;2009-02-26;https://www.xeno-canto.org/202360/download
148;20096;Yellow-knobbed Curassow;Crax_daubentoni_;8.95;-68.08333;song and alarm call;6:00;2006-11-23;https://www.xeno-canto.org/20096/download
149;197436;Yellow-knobbed Curassow;Crax_daubentoni_;6.8397;-69.5468;song;09:30;2008-02-28;https://www.xeno-canto.org/197436/download
150;221763;Black Curassow;Crax_alector_;5.0;-66.3833333333;call;?;1993-11-15;https://www.xeno-canto.org/221763/download
151;163402;Black Curassow;Crax_alector_;5.05;-66.2333;alarm call;?;2009-03-07;https://www.xeno-canto.org/163402/download
152;221319;Crested Bobwhite;Colinus_cristatus_;9.9166666667;-62.9166666667;song;11:30;1994-11-06;https://www.xeno-canto.org/221319/download
153;194726;Crested Bobwhite;Colinus_cristatus_;8.1101;-61.6714;song;06:30;2014-08-08;https://www.xeno-canto.org/194726/download
154;661021;Crested Bobwhite;Colinus_cristatus_;11.4947;-69.5128;aberrant, adult, male, song;09:00;2020-12-20;https://www.xeno-canto.org/661021/download
155;221322;Crested Bobwhite;Colinus_cristatus_;10.6666666667;-63.7;song;06:45;2003-07-28;https://www.xeno-canto.org/221322/download
156;221321;Crested Bobwhite;Colinus_cristatus_;8.05;-61.6666666667;song;18:30;2002-07-23;https://www.xeno-canto.org/221321/download
157;221320;Crested Bobwhite;Colinus_cristatus_;5.25;-67.8;song;06:00;1997-03-28;https://www.xeno-canto.org/221320/download
158;202209;Crested Bobwhite;Colinus_cristatus_;7.4277;-69.328;call;?;2009-02-14;https://www.xeno-canto.org/202209/download
